country,city,street_name,street_number,postal_code
Australia,Adelaide Mail Centre,Fairfield,404,5889
New Caledonia,Dumbéa,Hollow Ridge,9471,98839
Bangladesh,Teknāf,Village,58833,4762
Brazil,Descalvado,David,5092,13690-000
Brazil,Iporã,Victoria,57340,87560-000
Japan,Ōgaki,Anhalt,1,503-2429
Brazil,Bandeirantes,Almo,8421,86360-000
Iran,Shahr-e Bābak,Holmberg,1,
United States,Jackson,Golden Leaf,363,39236
Afghanistan,La‘l,Pawling,96684,
Poland,Kramarzówka,Oxford,11,37-560
Mexico,5 de Mayo,Hayes,1696,87785
Indonesia,Seulimeum,Roxbury,14,
Brazil,Recife,Arapahoe,19,50000-000
China,Huayang,Cody,4439,
Poland,Krasne,Mcbride,3,36-007
Colombia,Manzanares,Randy,93,173028
Russia,Chekmagush,Northview,5794,452200
Indonesia,Jatisari,Forest,27,
Colombia,Mocoa,Moland,53751,860008
Indonesia,Leuwibuleud,Cascade,2,
Russia,Yashalta,Westend,12537,359025
Norway,Halden,Toban,385,1768
Philippines,Tiguion,Kinsman,8443,2714
China,Aimin,Waywood,6,
China,Miaoshou,Talmadge,29,
Nigeria,Runka,Kropf,75,
Ireland,Dunlewy,Debra,98,A91
China,Shunling,Stuart,638,
Canada,Saskatoon,Rockefeller,831,S7W
Philippines,Layog,Loomis,432,9610
China,Futian,Drewry,61,
Hungary,Pécs,Bultman,547,7610
China,Xinshi,Tomscot,580,
Guatemala,Mixco,Dakota,58,01057
France,Fosses,Shopko,76,95479 CEDEX
Chile,La Serena,Melrose,946,
Indonesia,Jayaraga Kaler,Nelson,64902,
Peru,Caballococha,Pearson,4,
Portugal,Torreira,Johnson,75,3870-306
Russia,Revda,Crescent Oaks,74427,623287
Egypt,Akhmīm,Old Gate,405,
Czech Republic,Oldřišov,Manufacturers,51919,747 33
Russia,Yalkhoy-Mokhk,Gina,86859,366913
Philippines,Capas,Aberg,82676,2333
Indonesia,Togu,Chinook,51,
Colombia,Carmen de Viboral,Emmet,1,054457
Indonesia,Nagrak,Coleman,5042,
Indonesia,Buka,Charing Cross,3,
China,Chuangye,Scoville,82040,
United States,Louisville,Donald,6,40225
Philippines,Ragay,Nancy,6,4410
Russia,Nevel’,Village Green,87,182520
Philippines,Pitogo,Kennedy,74908,7033
South Africa,Cullinan,Everett,951,1005
Indonesia,Gajrug,Gerald,0,
Russia,Polovinnoye,Bellgrove,50,641780
Albania,Dajt,4th,98396,
Philippines,Parion,Coolidge,21491,5805
Sudan,El Matama,Northfield,8,
China,Xishan,Elka,2654,
Italy,Mestre,Orin,30921,30175
Thailand,Khao Kho,Susan,311,67270
Philippines,Pimbalayan,Corry,2631,6342
Canada,Airdrie,Tomscot,3,T4B
China,Xingshou,Village Green,68387,
Taiwan,Zhubei,Sachtjen,13,
Colombia,La Unión,Express,151,761548
Peru,Las Palmas,Lake View,9875,
China,Huanshan,Fremont,47858,
Bosnia and Herzegovina,Zborište,Scofield,4477,
Indonesia,Hamonggolele,Texas,73,
China,Tongzhong,Mifflin,21376,
Brazil,Maracanaú,Sachs,6,61900-000
Portugal,Monte Novo,Lyons,9674,7780-256
Colombia,Purísima,Westend,66,231547
Gambia,Jifarong,Crownhardt,9811,
Portugal,Fenais da Luz,Welch,56,9545-214
Brazil,Jacareí,Walton,8,12300-000
Poland,Bojadła,Gale,32,66-130
Peru,Lanlacuni Bajo,Bayside,6443,
Pakistan,Mātli,Laurel,6,72011
Russia,Yakutsk,Milwaukee,55,677027
China,Fengjia,Melvin,5,
Indonesia,Kadaka,Kropf,9,
Azerbaijan,Kyurdarmir,Jackson,39,
Croatia,Biograd na Moru,Sutherland,3,23210
United States,Round Rock,Erie,2,78682
Venezuela,Coloncito,Eagle Crest,9,
Honduras,La Libertad,Hoffman,817,
Russia,Moscow,Kropf,263,901993
Philippines,Maydolong,Bartillon,9376,6802
Indonesia,Ploso,Dryden,2,
China,Dubu,Artisan,98157,
Sweden,Gislaved,Basil,70688,332 37
Indonesia,Tegalbuleud,Loomis,955,
Brazil,Lagoa do Itaenga,Blue Bill Park,2752,55840-000
Yemen,Ad Dann,Mallory,363,
Argentina,Garupá,Vahlen,51,3304
Kazakhstan,Asykata,5th,55932,
Colombia,Bello,Mayer,27094,051059
Brazil,Itapagé,North,2956,62600-000
China,Matoupu,Bonner,5,
China,Qilin,Westerfield,1,
Syria,Sirghāyā,Commercial,19,
Indonesia,Koatas Lao,Ramsey,16241,
China,Zhamog,Rowland,28,
Indonesia,Cigembor,Hayes,13696,
Indonesia,Sumberejo,Calypso,66,
China,Junchuan,Nevada,261,
China,Taipinghu,Grayhawk,83,
Argentina,Gualeguay,Ruskin,1,2840
Philippines,Teresa,Surrey,37982,1880
Pakistan,Nowshera Cantonment,Golf Course,95,22511
Russia,Yessentukskaya,Meadow Vale,46,357637
Russia,Tomilino,Nobel,68,140074
Russia,Tashla,Fairview,1,461199
France,Redon,Magdeline,71,35605 CEDEX
Indonesia,Rundeng,Mccormick,6762,
Bosnia and Herzegovina,Mrkonjić Grad,Melody,3454,
Indonesia,Cikotok,Dryden,50,
Philippines,Palanas,Moose,84247,5404
Brazil,Itabaiana,Johnson,7,49500-000
Indonesia,Kelapa,Bartelt,87,
Sweden,Göteborg,Clove,3,415 22
Belarus,Smarhon’,Bayside,89031,
China,Shuanghe,Cordelia,9,
China,Yedun,Burrows,645,
Belarus,Antopal’,Debs,6,
China,Dayou,Huxley,1,
Portugal,Monte,Aberg,48337,3870-123
Indonesia,Glatik,Karstens,788,
Brazil,Oliveira,Pennsylvania,538,35540-000
Czech Republic,Ledeč nad Sázavou,Merry,5,584 01
Russia,Krutinka,Onsgard,42831,646130
Portugal,Boco,Summerview,234,2425-405
China,Helin,Little Fleur,95686,
Venezuela,Píritu,David,2,
Sweden,Mörrum,Corben,2453,375 90
Philippines,Caramay,Karstens,304,1607
Czech Republic,Křížová,Gina,5,794 01
Spain,Leon,Mccormick,7,24010
Brazil,Apucarana,Lakewood,2335,86800-000
China,Sikeshu,Eggendart,15,
China,Gangu Chengguanzhen,Barby,43,
Philippines,Cabalaoangan,Bayside,16344,2446
Russia,Tambovka,Clyde Gallagher,61189,416020
China,Hecun,Laurel,54880,
Argentina,Colegiales,Prentice,584,1871
China,Zhetang,School,82999,
France,Paris 16,Arrowood,663,75778 CEDEX 16
Indonesia,Panenjoan,Fremont,75,
China,Zhangdiyingzi,Dovetail,52020,
Azerbaijan,Mingelchaur,Forster,68388,
Bosnia and Herzegovina,Starcevica,Vidon,1,
Indonesia,Simpang,Hanson,1,
Iran,Qohord-e Bālā,1st,6,
Botswana,Makoba,Nobel,835,
Indonesia,Kambatatamakawu,Sunnyside,31458,
Sweden,Eskilstuna,Monica,4702,635 11
China,Huatanshan,Eastlawn,9,
Indonesia,Subulussalam,Sundown,98652,
Vietnam,Uyen Hung,Fremont,76653,
Colombia,Piedrancha,Riverside,9,525069
Honduras,Tepusteca,Farmco,73,
China,Dayushu,Eliot,1410,
Nigeria,Orita Eruwa,Banding,6547,
Portugal,Agrelo,Straubel,0,4730-300
China,Zhulan,Marcy,357,
Russia,Bystryanka,Dorton,65,659555
Philippines,Cardona,Ridgeway,4413,1950
Chile,"Villa Presidente Frei, Ñuñoa, Santiago, Chile",Ludington,343,
Indonesia,Perreng,Annamark,4069,
Haiti,Petite Rivière de Nippes,Mitchell,8,
Argentina,Aviá Terai,Kipling,28,3706
American Samoa,Leone,Bay,628,96799
China,Chifeng,South,81,
China,Huishangang,Mayfield,276,
Argentina,Villa de Soto,Jenna,57,5284
Luxembourg,Lamadelaine,Wayridge,43,L-4888
Sweden,Örnsköldsvik,Rieder,757,891 86
Philippines,Luksuhin,Roth,58,4221
Norway,Oslo,Upham,588,0506
Indonesia,Bumirejo,Schlimgen,6,
Gambia,Sankwia,Hoffman,39,
Croatia,Oštarije,Rutledge,7,47302
China,Xieqiao,Quincy,4983,
Portugal,Argivai,Jana,830,4490-204
China,Wufeng,Ramsey,5703,
Argentina,Trelew,Corben,108,8353
China,Liangkou,Washington,75181,
China,Gahe,Marcy,9182,
Syria,Ma‘lūlā,Melby,8,
China,Mudian,Amoth,933,
Dominican Republic,Moca,Nobel,74717,11902
Chile,Ovalle,Browning,5992,
Sweden,Katrineholm,Dakota,8392,641 36
China,Jiangfeng,Ridge Oak,82,
United States,San Diego,Kensington,69,92176
Poland,Pogorzyce,Namekagon,616,32-503
Russia,Primorsko-Akhtarsk,Cardinal,8,353866
China,Shencang,Bobwhite,8,
China,Jiuting,Carey,688,
Portugal,Cential,Macpherson,1539,3070-085
Azerbaijan,Hacıhüseynli,Graceland,28406,
Peru,Piura,Elmside,7,
China,Sanqu,Jenna,55883,
United States,Washington,Rowland,13,20226
Greece,Lakkíon,Drewry,45,
Poland,Świeradów-Zdrój,Monica,9,59-852
China,Shijia,Judy,67,
China,Gaohong,Esch,74491,
Portugal,Póvoa,Surrey,847,2460-402
Czech Republic,Bílina Kyselka,Melby,30473,419 01
Nigeria,Igede-Ekiti,Memorial,15332,
Chile,Lampa,Maple Wood,787,
China,Huangcun,Fair Oaks,2765,
China,Wuxing,Melody,1,
Brazil,Perdões,Banding,8,37260-000
Indonesia,Magetlegar,Valley Edge,871,
Greece,Gýtheio,Armistice,337,
Portugal,Novais,Roth,2363,3660-410
Poland,Gomunice,Springs,4947,97-545
Canada,Dorchester,Macpherson,20322,E4K
Ethiopia,Dembī Dolo,Sugar,7,
China,Quzi,Karstens,520,
Croatia,Bošnjaci,Starling,2,32275
Canada,Nakusp,Rusk,72699,H9A
United States,El Paso,Cody,376,88546
China,Shuangfeng,Briar Crest,2311,
Philippines,Bail,Melody,135,5420
Philippines,Tabuating,Fuller,2763,1279
Argentina,James Craik,American,254,5984
Paraguay,Colonia Neuland,Golf View,4,
China,Huyang,Mccormick,6,
Colombia,Ipiales,International,531,524078
Russia,Nartkala,Atwood,8978,361336
Thailand,Bang Ban,Mosinee,92686,13250
China,Huzhuang,Melody,38172,
China,Dongxi,Coleman,5551,
Kenya,Kapsabet,Roth,93,
Poland,Rudziczka,Hoard,677,43-267
China,Guanlu,Luster,3957,
Comoros,Madjeouéni,Bobwhite,289,
Liberia,Gbarnga,Hanover,98,
Thailand,Krabi,Leroy,87,58120
Poland,Nowy Korczyn,Ridgeview,9384,28-136
Czech Republic,Milín,Sullivan,0,261 01
Denmark,København,Michigan,97,1310
Brazil,Barra Velha,Anniversary,79902,88390-000
Indonesia,Walakeri,Nova,72146,
Portugal,Mujães,Buhler,243,4905-515
United States,Boston,Mccormick,204,02203
Indonesia,Caper,Buell,2,
Poland,Załuski,Mcbride,36616,09-142
Pakistan,Thatta,Sunnyside,0,73130
Brazil,Indaial,Cordelia,537,89130-000
Gabon,Lékoni,Starling,20,
China,Yangjia,Linden,5944,
Aland Islands,Eckerö,Lindbergh,1,22270
Venezuela,Santa María de Caparo,Southridge,46,
Philippines,Pandan,Fuller,73,5712
Brazil,Concórdia,Shopko,6906,89700-000
France,La Valette-du-Var,Grover,0,83164 CEDEX
Philippines,Mamali,Pierstorff,50,9611
Sweden,Kalix,Hovde,71,952 61
United States,North Little Rock,Thackeray,6,72118
Vietnam,Lương Bằng,Melby,6035,
China,Hongsi,Grasskamp,5,
Peru,Paruro,Dexter,237,
Indonesia,Bengras,Forster,38,
Poland,Marianowo,Jay,6028,73-121
Macedonia,Gorobinci,Golf Course,99,2220
Canada,Normandin,Mcguire,124,G0H
Burkina Faso,Tougan,Surrey,9,
United States,Colorado Springs,Commercial,98,80920
United States,Arlington,Sage,34525,22217
Bangladesh,Rangpur,Pleasure,601,5470
Philippines,Panganiban,Chive,6,4806
Sierra Leone,Bumpe,Spaight,833,
Dominican Republic,Laguna Salada,Oak Valley,1,11004
Indonesia,Karangpocok,Merrick,30721,
China,Anjia,Schiller,5086,
France,Cran-Gevrier,Washington,0,74964 CEDEX
China,Dadong,Goodland,1,
China,Qinshan,Buell,159,
France,Chalon-sur-Saône,Stone Corner,3,71109 CEDEX
China,Beigucheng,Marquette,70,
France,Clermont-Ferrand,Sunfield,55149,63057 CEDEX 1
Russia,Peterhof,Eagle Crest,8,198804
Croatia,Labin,Brickson Park,2,52220
China,Woken,Clove,370,
Paraguay,Villa Florida,Center,6877,
France,Val-de-Reuil,Lakewood Gardens,5,27109 CEDEX
Kazakhstan,Bestöbe,Manitowish,24753,
Germany,Kiel,Hauk,2511,24109
Indonesia,Adirejo,Roxbury,96,
China,Jifeng,7th,8374,
Portugal,Carcavelos,Charing Cross,2,4620-031
Portugal,Mouriscas,Carioca,4,2200-706
Australia,Sydney,Victoria,32578,1191
Colombia,Segovia,Farmco,60,052818
Sweden,Halmstad,Gale,2,302 70
Iran,Herīs,Messerschmidt,3258,
Sweden,Motala,Portage,101,591 34
Indonesia,Bodeh,Hintze,23497,
Tanzania,Kisesa,Clove,98,
Peru,Tournavista,Dapin,9645,
Kosovo,Suva Reka,2nd,40897,
China,Nanhu,Scofield,515,
Indonesia,Bangilan,Haas,377,
China,Jindong,Victoria,8743,
Tanzania,Singida,Menomonie,8,
Indonesia,Pangligaran,Novick,698,
Argentina,James Craik,Holmberg,7100,5984
Indonesia,Gawul,Chive,9288,
China,Sanban,Transport,8,
China,Hexi,Cambridge,1203,
Iceland,Höfn,Walton,969,781
Portugal,Santa Eulália,Tennyson,59,4620-526
Portugal,Melres,Sachs,27099,4515-465
Netherlands,'s-Hertogenbosch,Kensington,1128,5204
China,Qianxu Zhen,Evergreen,448,
China,Tunggar,Laurel,179,
Indonesia,Wolofeo,Melrose,40251,
South Africa,Constantia,Londonderry,71291,7806
China,Tajike’abati,Hansons,6,
Nigeria,Kagoro,Pepper Wood,857,
Israel,Rosh Ha‘Ayin,Starling,34,
Sweden,Hisings Kärra,Hazelcrest,553,425 38
Guatemala,Mataquescuintla,Shoshone,3,06005
United States,Pompano Beach,Sachtjen,8,33064
China,Wuning,Roxbury,0,
China,Nansan,Oneill,17,
Sweden,Färjestaden,David,23,386 94
Russia,Sheksna,Sachtjen,5941,162572
Bulgaria,Sadovo,Artisan,83,4126
Brazil,Bento Gonçalves,Debs,8569,95700-000
Indonesia,Mafa,Mcguire,325,
United States,San Jose,Old Shore,812,95123
Russia,Grebnevo,Burning Wood,294,141160
Ireland,Greystones,Nevada,5,A63
Comoros,Sima,Hoepker,866,
China,Liuhu,Arapahoe,69,
Greece,Khiliomódhi,Ludington,737,
Serbia,Hrtkovci,Cody,11,
Sweden,Helsingborg,Waubesa,7611,251 08
Portugal,Pinhal da Marquesa,Mariners Cove,6,2950-577
Russia,Perelyub,Pennsylvania,4947,413750
United States,Minneapolis,Portage,213,55480
Czech Republic,Čáslav,Troy,41,407 25
China,Changxing,Sutherland,66,
Philippines,Alicia,Evergreen,8,7040
China,Gouyan,Hanover,7,
Ireland,Dunmanway,Raven,82,P47
China,Xiaozhen,Tony,14,
China,Panzhuang,Huxley,41,
China,Ehu,Londonderry,9,
Brazil,Várzea Alegre,Bultman,453,63540-000
Lithuania,Vilkija,Graedel,94079,54015
China,Zhifang,Darwin,305,
Portugal,Bárrio,Miller,951,4990-692
Syria,Ţayyibat al Imām,Reindahl,388,
China,Alakak,Dovetail,8,
Greece,Néa Magnisía,Victoria,797,
Argentina,Campo Largo,Shelley,46,3716
Thailand,Pa Phayom,Ridge Oak,86848,91130
Malawi,Lilongwe,Morrow,8043,
Tanzania,Kihangara,Old Gate,937,
Honduras,Sandy Bay,Kedzie,53759,
Indonesia,Bentengjawa,Stone Corner,654,
Indonesia,Banjar Pande,Bluejay,913,
China,Yumendong,Mallard,826,
Palau,Kayangel,Clemons,77871,
Nigeria,Obubra,Nevada,3,
Indonesia,Panglanjan,Eagan,0,
Japan,Nanto-shi,Hallows,4642,939-1733
Thailand,Bang Racham,Fremont,65,16130
United States,Vancouver,Burning Wood,834,98664
China,Xushan,Melvin,3412,
Croatia,Ježdovec,Quincy,7910,10250
Uruguay,Migues,Gulseth,18608,
Japan,Ushiku,Dwight,23671,400-0121
Indonesia,Cikadu,Northland,74,
Slovenia,Leskovec pri Krškem,Southridge,834,8273
China,Baishi,West,327,
Colombia,Rovira,Heath,4,733048
Peru,Maranganí,Loomis,34033,
Philippines,Quiling,Carpenter,33,2902
United States,Sacramento,Comanche,47780,95852
Sweden,Strängnäs,Russell,45,645 51
China,Jimsar,Vera,14,
Armenia,Aygepat,Kropf,9,
China,Mijiang,Bonner,1994,
Brazil,Pinheiral,Upham,650,27197-000
American Samoa,Aūa,Anniversary,17269,96799
Indonesia,Wanga,Algoma,75860,
Indonesia,Jajaway,Fairfield,12,
Afghanistan,Dehī,Straubel,242,
China,Xin’andu,Washington,3,
Venezuela,Punta de Piedra,East,2,
China,Yingcheng,Manitowish,2085,
Russia,Rossosh’,Dapin,7159,624282
Russia,Sabnova,Stang,13,368670
France,Châlons-en-Champagne,Clyde Gallagher,8,51012 CEDEX
Indonesia,Temperak,Susan,3,
Finland,Pargas,Hansons,1338,90020
Japan,Kawanoechō,Mosinee,6861,799-0412
Indonesia,Nagrog,Londonderry,9,
Yemen,Al Ḩusayn,Bunker Hill,434,
Serbia,Valjevo,Thackeray,5,
Philippines,Del Monte,Donald,32827,1105
Indonesia,Cikupa,Shelley,33645,
South Africa,Vredendal,Green Ridge,2290,8207
China,Dagui,Sloan,288,
Japan,Kainan,Dovetail,2974,649-6326
Poland,Strzyżowice,Spaight,48,42-575
Japan,Toyama-shi,Talisman,49,939-8282
Japan,Gōtsuchō,International,22,699-3162
Martinique,Le Lamentin,Nancy,51,97283 CEDEX 1
Russia,Sukpak,Milwaukee,9403,667904
Malta,Kirkop,Katie,42512,KKP
Argentina,Garupá,Sommers,65,3304
Marshall Islands,Airuk,Coolidge,1,96960
Malaysia,Petaling Jaya,Dixon,684,46781
Israel,Tiberias,Lunder,31,
Ivory Coast,Gagnoa,Eliot,708,
Croatia,Krapina,Hoard,922,49000
Portugal,Sete Cidades,Mallard,2,9555-197
Japan,Miyazu,Melby,971,626-0077
Libya,Ajdabiya,Becker,433,
China,Chicheng,Pond,4079,
Indonesia,Kokar,Acker,88849,
Argentina,Río Ceballos,Pearson,0,5113
Bulgaria,Chavdar,Petterle,6,2087
Russia,Mariinsk,Dawn,695,652156
Chile,Purranque,Manufacturers,40,
Liberia,Bensonville,Hoffman,3455,
China,Tianzhou,Cordelia,573,
Canada,Saint-Ambroise,Monica,847,G7P
Poland,Bełk,Warbler,1,44-247
Indonesia,Serawai,Menomonie,7088,
Russia,Cherkasskoye,Glacier Hill,5248,412954
China,Dongmafang,Anderson,3,
Argentina,Junín,Rusk,280,2152
Peru,Huasahuasi,Badeau,3,
Poland,Olsztynek,Brickson Park,305,11-015
Indonesia,Basa,Loeprich,14419,
Indonesia,Panyarang,Elka,42,
China,Jiahe,Cottonwood,54910,
Iran,Dorūd,Algoma,12,
Indonesia,Daja,Randy,1,
United States,Jacksonville,Moland,13228,32277
China,Anwen,Portage,9236,
Ukraine,Shakhtars’k,Scott,435,
Indonesia,Kimaam,Delaware,62365,
Malaysia,Tawau,Golf Course,42,91020
Canada,Virden,Rockefeller,29459,J5V
Tunisia,Al ‘Āliyah,Waubesa,6033,
Paraguay,Concepción,Rusk,240,
China,Shuangtang,Little Fleur,91,
Swaziland,Mhlambanyatsi,Erie,8053,
Indonesia,Lamalewar,International,39862,
Argentina,Río Segundo,Grayhawk,8934,5972
Japan,Atsugi,Sundown,69090,243-0007
China,Ziyuan,Debs,4046,
Philippines,Tiguion,Towne,99174,2714
Vietnam,Phú Túc,Luster,5496,
China,Fangqiang,Bobwhite,23,
Portugal,Gandara,Garrison,91419,4785-192
Ukraine,Velyka Bahachka,Upham,0,
Thailand,Sam Chuk,Hagan,6,72130
United States,Colorado Springs,Stuart,97895,80945
Poland,Szczawnica,Grover,38,34-460
Australia,Sydney,Fisk,7134,1196
Afghanistan,Shahrak,Barnett,88,
China,Suozhen,Wayridge,4,
Czech Republic,Studenec,Beilfuss,296,675 02
China,Weishan,Riverside,5372,
Russia,Shalinskoye,Banding,51131,663510
Ivory Coast,Abobo,Warbler,64422,
France,Avignon,Morning,283,84007 CEDEX 1
Philippines,Simod,Forest Dale,8,4342
China,Liucun,Dahle,3,
Portugal,Vimieiro,Tomscot,4094,4705-656
Kazakhstan,Belūsovka,Lillian,4238,
Ethiopia,Dubti,Meadow Vale,64413,
Israel,Jīsh,Welch,77744,
Poland,Sanok,Eastwood,1537,38-512
Philippines,Malilipot,Division,5038,4510
Brazil,Antonina,Hanson,75326,83370-000
Finland,Pyhäranta,Delladonna,813,23950
Honduras,Liure,Bonner,80,
China,Yuhang,West,78,
China,Tiedonglu,Acker,65,
Laos,Xam Nua,Goodland,50,
Syria,Tall Abyaḑ,Troy,48139,
China,Gulong,Vera,4189,
Finland,Ylihärmä,Helena,6,62375
Azerbaijan,Hacıqabul,Fairfield,89523,
China,Xiaomiaozi,Cambridge,20,
Russia,Kondinskoye,Oriole,6,628210
China,Jiujie,Erie,36,
China,Yanglinwei,Starling,23,
Indonesia,Banjar Batuaji Kaja,Mesta,3693,
Laos,Xamtay,Holmberg,2,
China,Hengjiang,Northridge,88594,
Vietnam,Tánh Linh,Magdeline,1642,
Indonesia,Sukamaju,Walton,669,
Ukraine,Boromlya,Continental,69155,
Portugal,Urrô,Sutteridge,903,4560-832
Serbia,Hrtkovci,Gina,14509,
Venezuela,Mariara,American Ash,4776,
Russia,Krasnogorodskoye,Monument,72,182370
Indonesia,Kenamoen,Crowley,1,
China,Yongfeng,Sutherland,89,
China,Lianxia,1st,48,
Macedonia,Bosilovo,Cambridge,38791,2431
Kenya,Voi,Miller,61067,
China,Yaogu,Canary,862,
China,Yaohua,Chive,5,
El Salvador,Conchagua,Autumn Leaf,4,
Russia,Nyurba,Katie,77,678450
Indonesia,Cilated,Sundown,1405,
Morocco,Sidi Yahia el Gharb,Caliangt,1,
France,Bordeaux,Calypso,417,33010 CEDEX
Indonesia,Panawuan,Marquette,8,
Tunisia,Gafsa,Eliot,3,
United Kingdom,Newbiggin,Comanche,430,NE46
Turkmenistan,Tagta,Kipling,83,
Portugal,Balazar,Sloan,408,4570-013
Croatia,Smokvica,Hooker,704,23249
China,Xigangzi,Melby,55143,
Greece,Kompóti,Ruskin,1,
Peru,Lobitos,Golf View,40721,
Croatia,Trilj,Hanson,296,21240
Philippines,Guihing Proper,Hoard,992,8006
China,Anjia,Debs,4,
Netherlands,Middelburg,Scott,197,4334
Poland,Leńcze,Towne,48,34-142
Indonesia,Tuwa,Mayer,4,
Kenya,Litein,Shoshone,3,
Poland,Skoroszyce,Oakridge,92,48-320
Brazil,Presidente Venceslau,Saint Paul,0,19400-000
Paraguay,Cerrito,Grim,82,
Nigeria,Pankshin,Lyons,66,
Philippines,Lilio,Meadow Ridge,1869,4004
China,Zhufo,Hermina,55113,
Greece,Ágios Vasíleios,Nobel,29,
Brazil,Tanabi,Pierstorff,0,15170-000
China,Haitang,Lien,75403,
China,Xiaoyue,Sheridan,87,
Portugal,Quintães,Columbus,7,4940-206
Poland,Krasne,Reindahl,48281,36-007
Albania,Zharrëz,Butterfield,806,
Indonesia,Jiworejo,Sherman,4,
Indonesia,Karamat,Shopko,1,
Indonesia,Pumai,Melody,14,
Indonesia,Langgapayung,International,70,
Morocco,Nouaseur,Northland,36,
Indonesia,Karangkedawung,Vera,2,
Romania,Satu Nou,Gateway,96667,737513
Portugal,Rio Covo ( Santa Eulália ),Dawn,2631,4755-484
Indonesia,Peranap,Farmco,9949,
Armenia,Akunk’,Lighthouse Bay,999,
Thailand,Chanthaburi,Sheridan,222,24120
Brazil,Rio Formoso,Tony,980,55570-000
South Korea,Kyosai,Haas,0,
Maldives,Naifaru,Dovetail,47,
Slovenia,Kamnica,Buhler,48,2351
Cuba,Arroyo Naranjo,Portage,8,
Thailand,Ban Khok,Reindahl,5,53180
Albania,Brataj,Dennis,685,
Indonesia,Watulabara,Mccormick,29,
Madagascar,Manakara,Moland,41020,
Thailand,Wachira Barami,Shopko,76636,45250
Indonesia,Sinarbakti,Kensington,4,
Ethiopia,Jijiga,Milwaukee,4,
Russia,Kizilyurt,Service,6458,368551
China,Guniushan,Declaration,313,
China,Wangzha,Service,1,
China,Kaiyuan,Di Loreto,367,
Germany,Hamburg,Erie,813,22041
Canada,Sylvan Lake,Atwood,74809,T4S
China,Menghai,Sunbrook,358,
China,Wenquan,Morrow,479,
Philippines,Conner,Atwood,68,3807
France,Palaiseau,Norway Maple,3831,91129 CEDEX
Czech Republic,Postřelmov,Stone Corner,0,789 69
Philippines,Bugcaon,Huxley,953,4023
Czech Republic,Kunčina,Chive,1428,569 24
China,Mahe,Waxwing,5030,
Japan,Kimitsu,Farragut,20,704-8166
Canada,Prévost,Thompson,6301,T7Z
China,Gutang,Del Mar,9,
Russia,Idrinskoye,Fallview,297,662680
Ukraine,Tlumach,Oriole,95266,
Ireland,Ballyboden,Manley,5364,D6W
Indonesia,Penaraga,Colorado,5418,
China,Zhangcaizhuang,Heath,21,
Vietnam,Thị Trấn Bình Mỹ,Talisman,5092,
China,Yujiawu,Parkside,81,
Indonesia,Sokarame,Basil,21461,
Philippines,Tulay,Onsgard,4,4110
Serbia,Turija,Dunning,31425,
China,Rongcheng,Forest,92747,
Russia,Nikolo-Pavlovskoye,Golf,74993,622911
Indonesia,Kotabaru,Dovetail,6292,
Netherlands,Apeldoorn,Sundown,85934,7319
Ireland,Castlebridge,Alpine,30,R14
China,Shanhou,Tony,7,
Brazil,Plácido de Castro,Onsgard,8,69928-000
United States,Glendale,Brentwood,5901,91210
Indonesia,Mantar,Northview,5,
Luxembourg,Itzig,Jay,547,L-5978
Paraguay,Pedro Juan Caballero,2nd,91808,
Tanzania,Mtambile,Nova,46,
Ukraine,Nova Kakhovka,Aberg,22,
Thailand,Ban Kruat,Darwin,0,31180
Yemen,Aţ Ţawīlah,Fulton,89604,
Philippines,Nalus,Anthes,21442,9514
Peru,Chocos,Larry,36408,
Mexico,Juan N Alvarez,5th,90,39030
Thailand,Thai Charoen,Logan,21,55000
Colombia,Mariquita,Pennsylvania,2,732028
Ivory Coast,Bingerville,Westridge,34,
China,Shanhe,Moulton,6661,
Philippines,Tapilon,Mitchell,56,6013
Cyprus,Mesógi,Hauk,362,
China,Yong’an,Hagan,5774,
Ukraine,Snizhne,Shasta,147,
Vietnam,Bích Động,Hermina,32344,
Indonesia,Kowang Utara,Burning Wood,0,
China,Banyue,Granby,99,
Botswana,Kanye,Hoffman,24,
Portugal,Santa Eulália,Upham,8273,4620-526
Czech Republic,Žandov,Goodland,56046,403 39
Philippines,Jarigue,Hazelcrest,4,9407
Canada,Kingsey Falls,Starling,44,T8H
Finland,Jämsänkoski,Westridge,5101,42301
Indonesia,Puputan,Stang,12,
Indonesia,Bucu Lor,Amoth,850,
France,Montbrison,Rutledge,1,42604 CEDEX
China,Buchou,Steensland,884,
Mali,Goundam,Walton,937,
Portugal,Vale da Bajouca,Manufacturers,7,2425-207
China,Chengbei,Milwaukee,7233,
Ukraine,Pryluky,Columbus,2,
Argentina,Tintina,Karstens,2995,3743
China,Fangtian,American Ash,12860,
Indonesia,Cangkringan,Goodland,73934,
Brazil,Osvaldo Cruz,Ludington,59227,17700-000
Indonesia,Gadingrejo,Blaine,0,
China,Quanling,Ridgeview,2,
Portugal,Gémeos,Tony,45,4810-571
Costa Rica,Guápiles,Duke,70191,70201
Costa Rica,Heredia,Tomscot,4911,40101
Tajikistan,Qalaikhumb,Pawling,0,
Zambia,Lundazi,Swallow,52558,
China,Yishi,Dakota,6628,
Portugal,São Pedro Gafanhoeira,Lawn,58,7040-524
China,Jianxin,Commercial,2,
Philippines,Santiago,Dovetail,2,8608
Somalia,Jawhar,Manley,70378,
Indonesia,Kentongan,Bobwhite,821,
