,id,artist,artistRole,artistId,title,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
76,20993,"McKeever, Ian",artist,2335,[no title],Woodcut on paper,Purchased 1994,1993.0,1994.0,image: 505 x 762 mm,505.0,762.0,,mm,,© Ian McKeever,http://www.tate.org.uk/art/images/work/P/P77/P77658_8.jpg,http://www.tate.org.uk/art/artworks/mckeever-no-title-p77658
77,16329,"Winner, Gerd",artist,2154,Hoboken Ferry,Screenprint on paper,Presented by Rose and Chris Prater through the Institute of Contemporary Prints 1975,1973.0,1975.0,image: 571 x 987 mm,571.0,987.0,,mm,,© Gerd Winner,http://www.tate.org.uk/art/images/work/P/P05/P05352_8.jpg,http://www.tate.org.uk/art/artworks/winner-hoboken-ferry-p05352
78,36561,"Turner, Joseph Mallord William",artist,558,An Oxbow in a Large River,,Accepted by the nation as part of the Turner Bequest 1856,1812.0,1856.0,support: 110 x 178 mm,110.0,178.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D09/D09182_8.jpg,http://www.tate.org.uk/art/artworks/turner-an-oxbow-in-a-large-river-d09182
79,21023,"Salter, Rebecca",artist,2343,Four Lines IV,Woodcut on paper,Purchased 1994,1994.0,1994.0,image: 229 x 330 mm ,229.0,330.0,,mm,,,,http://www.tate.org.uk/art/artworks/salter-four-lines-iv-p77678
80,35008,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1809.0,1856.0,support: 88 x 110 mm,88.0,110.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d07619
81,17025,"Turner, Joseph Mallord William",after,558,Dover from Shakespeare’s Cliff,Intaglio print on paper,Purchased 1988,1826.0,1988.0,image: 162 x 241 mm,162.0,241.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T05/T05248_8.jpg,http://www.tate.org.uk/art/artworks/turner-dover-from-shakespeares-cliff-t05248
82,27894,"Turner, Joseph Mallord William",artist,558,"Study of a Rock, Probably in St Bride’s Bay",,Accepted by the nation as part of the Turner Bequest 1856,1795.0,1856.0,support: 205 x 130 mm,205.0,130.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D00/D00479_8.jpg,http://www.tate.org.uk/art/artworks/turner-study-of-a-rock-probably-in-st-brides-bay-d00479
83,21602,"De Wint, Peter",artist,148,Children at Lunch by a Corn Stook,Oil paint on board on wood,Purchased 1996,1810.0,1996.0,unconfirmed: 130 x 349 mm frame: 219 x 434 x 50 mm,130.0,349.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T07/T07099_8.jpg,http://www.tate.org.uk/art/artworks/de-wint-children-at-lunch-by-a-corn-stook-t07099
84,64771,"Turner, Joseph Mallord William",artist,558,[title not known],Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1840.0,1856.0,support: 149 x 89 mm,149.0,89.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D41/D41025_8.jpg,http://www.tate.org.uk/art/artworks/turner-title-not-known-d41025
85,1279,"Bone, Sir Muirhead",artist,778,From the Bridge of a Battleship,Graphite on paper,Presented by the artist 1919,1917.0,1919.0,support: 293 x 230 mm,293.0,230.0,,mm,,© The estate of Sir Muirhead Bone,http://www.tate.org.uk/art/images/work/N/N03/N03446_8.jpg,http://www.tate.org.uk/art/artworks/bone-from-the-bridge-of-a-battleship-n03446
86,33531,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1807.0,1856.0,support: 107 x 182 mm,107.0,182.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d06140
87,46286,"Turner, Joseph Mallord William",artist,558,Figures on Quay,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1825.0,1856.0,support: 155 x 95 mm,155.0,95.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D18/D18933_8.jpg,http://www.tate.org.uk/art/artworks/turner-figures-on-quay-d18933
88,54804,"Turner, Joseph Mallord William",artist,558,"Sunset, Etc.",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1832.0,1856.0,support: 86 x 111 mm,86.0,111.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D27/D27477_8.jpg,http://www.tate.org.uk/art/artworks/turner-sunset-etc-d27477
89,37172,"Turner, Joseph Mallord William",artist,558,"Bolton Abbey and the River Wharfe, from the East",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1816.0,1856.0,support: 179 x 254 mm,179.0,254.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D09/D09793_8.jpg,http://www.tate.org.uk/art/artworks/turner-bolton-abbey-and-the-river-wharfe-from-the-east-d09793
90,81051,"Law, Bob",artist,1476,Kiss for Me - Cross for You,Etching on paper,Purchased 2004,2000.0,2004.0,image: 285 x 385 mm,285.0,385.0,,mm,,© The estate of Bob Law,http://www.tate.org.uk/art/images/work/P/P78/P78910_8.jpg,http://www.tate.org.uk/art/artworks/law-kiss-for-me-cross-for-you-p78910
91,18839,"Turner, Joseph Mallord William",after,558,Coteaux de Mauves,Intaglio print on paper,Transferred from the Library 1989,1833.0,1989.0,,,,,,,,http://www.tate.org.uk/art/images/work/T/T05/T05591_8.jpg,http://www.tate.org.uk/art/artworks/turner-coteaux-de-mauves-t05591
92,66842,"Nicholson, Ben, OM",artist,1702,"Oct. 55 (Torre del Grillo, Rome)",Graphite on paper,Purchased 2001,1955.0,2001.0,support: 280 x 491 mm,280.0,491.0,,mm,,"© Angela Verren Taunt 2014. All rights reserved, DACS",http://www.tate.org.uk/art/images/work/T/T07/T07796_8.jpg,http://www.tate.org.uk/art/artworks/nicholson-oct-55-torre-del-grillo-rome-t07796
93,3410,"Daniell, William",artist,138,"Armidal, the Seat of Lord Macdonald, Isle of Skye",Aquatint on paper,Presented by Tate Gallery Publications 1979,1814.0,1979.0,image: 162 x 241 mm,162.0,241.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T02/T02815_8.jpg,http://www.tate.org.uk/art/artworks/daniell-armidal-the-seat-of-lord-macdonald-isle-of-skye-t02815
94,14044,"Sutherland, Graham, OM",artist,2014,3. The Lion,Etching and aquatint on paper,Purchased 1985,1978.0,1985.0,image: 182 x 218 mm,182.0,218.0,,mm,,© The estate of Graham Sutherland,http://www.tate.org.uk/art/images/work/P/P77/P77088_8.jpg,http://www.tate.org.uk/art/artworks/sutherland-3-the-lion-p77088
95,4508,"Foster, Myles Birket",artist,192,Lane Scene at Hambledon,Watercolour on paper,Bequeathed by C. Fraser 1905,1862.0,1905.0,support: 425 x 635 mm,425.0,635.0,,mm,,,http://www.tate.org.uk/art/images/work/N/N01/N01977_8.jpg,http://www.tate.org.uk/art/artworks/foster-lane-scene-at-hambledon-n01977
96,10552,"Nash, Paul",artist,1690,Equivalents for the Megaliths,Oil paint on canvas,Purchased 1970,1935.0,1970.0,support: 457 x 660 mm frame: 627 x 835 x 80 mm,457.0,660.0,,mm,,© Tate,http://www.tate.org.uk/art/images/work/T/T01/T01251_8.jpg,http://www.tate.org.uk/art/artworks/nash-equivalents-for-the-megaliths-t01251
97,44701,"Turner, Joseph Mallord William",artist,558,"The Medway, at Rochester",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1821.0,1856.0,support: 113 x 187 mm,113.0,187.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17345_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-medway-at-rochester-d17345
98,2133,"Chadwick, Lynn",artist,880,Figure IV,Lithograph on paper,Presented by Curwen Studio through the Institute of Contemporary Prints 1975,1966.0,1975.0,image: 816 x 597 mm,816.0,597.0,,mm,,© The estate of Lynn Chadwick. All Rights Reserved 2010 / Bridgeman Art Library,http://www.tate.org.uk/art/images/work/P/P06/P06070_8.jpg,http://www.tate.org.uk/art/artworks/chadwick-figure-iv-p06070
99,45090,"Turner, Joseph Mallord William",artist,558,Dover from the Castle with Sea-View beyond,Watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1822.0,1856.0,support: 257 x 178 mm,257.0,178.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D17/D17735_8.jpg,http://www.tate.org.uk/art/artworks/turner-dover-from-the-castle-with-sea-view-beyond-d17735
100,7015,"Ibbetson, Julius Caesar",artist,292,Sand Quarry at Alum Bay,Oil paint on wood,Bequeathed by Sir Henry Layard GCB 1913,1792.0,1913.0,support: 190 x 254 mm,190.0,254.0,,mm,,,http://www.tate.org.uk/art/images/work/N/N02/N02948_8.jpg,http://www.tate.org.uk/art/artworks/ibbetson-sand-quarry-at-alum-bay-n02948
101,28107,"Turner, Joseph Mallord William",pupil of,558,A Waggon and Horse Crossing a Bridge with an Inn and a Watermill,"Gouache, graphite and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,,1856.0,support: 140 x 252 mm,140.0,252.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D00/D00692_8.jpg,http://www.tate.org.uk/art/artworks/turner-a-waggon-and-horse-crossing-a-bridge-with-an-inn-and-a-watermill-d00692
102,32323,"Turner, Joseph Mallord William",artist,558,Study of ?Lot and his Family Fleeing from Sodom,Chalk on paper,Accepted by the nation as part of the Turner Bequest 1856,1799.0,1856.0,support: 433 x 272 mm,433.0,272.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D04/D04931_8.jpg,http://www.tate.org.uk/art/artworks/turner-study-of-lot-and-his-family-fleeing-from-sodom-d04931
103,9443,"Meninsky, Bernard",artist,1622,Head of a Girl,Graphite on paper,Presented by the artist's widow 1958,1944.0,1958.0,support: 546 x 451 mm,546.0,451.0,,mm,,© The estate of Bernard Meninsky,http://www.tate.org.uk/art/images/work/T/T00/T00170_8.jpg,http://www.tate.org.uk/art/artworks/meninsky-head-of-a-girl-t00170
104,33,"Horn, Rebecca",artist,2269,Keeping Those Legs from Touching Each Other,Fabric and magnets,Purchased with assistance from Tate Members 2002,1974.0,2002.0,displayed: 270 x 952 x 305 mm,270.0,952.0,305.0,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/T/T07/T07853_8.jpg,http://www.tate.org.uk/art/artworks/horn-keeping-those-legs-from-touching-each-other-t07853
105,24998,"Davis, John Scarlett",artist,140,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997.0,support: 57 x 33 mm,57.0,33.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T10/T10605_8.jpg,http://www.tate.org.uk/art/artworks/davis-title-not-known-t10605
106,51018,"Turner, Joseph Mallord William",artist,558,Harbour. ?De Lary Barr [Turner],Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1832.0,1856.0,support: 114 x 187 mm,114.0,187.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D23/D23681_8.jpg,http://www.tate.org.uk/art/artworks/turner-harbour-de-lary-barr-turner-d23681
107,57478,"Turner, Joseph Mallord William",artist,558,Salzburg: The Fortress and City from the Mönchsberg,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1833.0,1856.0,support: 159 x 99 mm,159.0,99.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D30/D30218_8.jpg,http://www.tate.org.uk/art/artworks/turner-salzburg-the-fortress-and-city-from-the-monchsberg-d30218
108,1161,"Blake, William",artist,39,The Pit of Disease: The Falsifiers,Line-engraving on paper,Presented by Lessing J. Rosenwald 1975,1826.0,1975.0,image: 240 x 335 mm,240.0,335.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T01/T01955_8.jpg,http://www.tate.org.uk/art/artworks/blake-the-pit-of-disease-the-falsifiers-t01955
109,120568,"Ojeikere, J.D. Okhai",artist,16018,Untitled (Abebe),"Photograph, gelatin silver print on paper",Purchased with funds provided by the Acquisitions Fund for African Art Supported by Guaranty Trust Bank Plc 2013     ,1975.0,2013.0,unconfirmed,,,,,,,,http://www.tate.org.uk/art/artworks/ojeikere-untitled-abebe-p80256
110,54218,"Turner, Joseph Mallord William",artist,558,"Gylen Castle, Kerrera from the South-South-East",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1831.0,1856.0,support: 116 x 186 mm,116.0,186.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D26/D26882_8.jpg,http://www.tate.org.uk/art/artworks/turner-gylen-castle-kerrera-from-the-south-south-east-d26882
111,144,"Lucas, Sarah",artist,2643,Divine,Digital print on paper,Purchased 2001,1991.0,2001.0,image: 547 x 685 mm support: 565 x 760 mm frame: 650 x 910 x 33 mm,547.0,685.0,,mm,,© Sarah Lucas,http://www.tate.org.uk/art/images/work/P/P78/P78444_8.jpg,http://www.tate.org.uk/art/artworks/lucas-divine-p78444
112,10323,"Morris, William",artist,388,The Archangel Gabriel,Watercolour on paper,Presented by the Trustees of the Chantrey Bequest 1940,,1940.0,support: 2210 x 610 mm,2210.0,610.0,,mm,,,,http://www.tate.org.uk/art/artworks/morris-the-archangel-gabriel-n05219
113,24950,"Wharncliffe, Lady",artist,2576,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997.0,support: 213 x 166 mm,213.0,166.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T10/T10922_8.jpg,http://www.tate.org.uk/art/artworks/wharncliffe-title-not-known-t10922
114,61327,"Turner, Joseph Mallord William",artist,558,Views,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1830.0,1856.0,support: 102 x 140 mm,102.0,140.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D34/D34159_8.jpg,http://www.tate.org.uk/art/artworks/turner-views-d34159
115,35554,"Turner, Joseph Mallord William",artist,558,"Inveraray Castle and Town, Scotland",Watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1808.0,1856.0,support: 197 x 265 mm,197.0,265.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D08/D08165_8.jpg,http://www.tate.org.uk/art/artworks/turner-inveraray-castle-and-town-scotland-d08165
116,56232,"Turner, Joseph Mallord William",artist,558,Burg Hals and the Ilz from the Hillside,"Graphite, watercolour and gouache on paper",Accepted by the nation as part of the Turner Bequest 1856,1840.0,1856.0,support: 142 x 191 mm,142.0,191.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D28/D28960_8.jpg,http://www.tate.org.uk/art/artworks/turner-burg-hals-and-the-ilz-from-the-hillside-d28960
117,16493,"Wyllie, William Lionel",artist,618,"Toil, Glitter, Grime and Wealth on a Flowing Tide",Oil paint on canvas,Presented by the Trustees of the Chantrey Bequest 1883,1883.0,1883.0,support: 1156 x 1651 mm ,1156.0,1651.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/N/N01/N01580_8.jpg,http://www.tate.org.uk/art/artworks/wyllie-toil-glitter-grime-and-wealth-on-a-flowing-tide-n01580
118,30036,"Turner, Joseph Mallord William",artist,558,[blank],,Accepted by the nation as part of the Turner Bequest 1856,1801.0,1856.0,support: 115 x 162 mm,115.0,162.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d02633
119,15286,"Turner, Joseph Mallord William",after,558,Virginia Water No. 1,Line engraving on paper,Purchased 1986,1830.0,1986.0,image: 93 x 139 mm,93.0,139.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T04/T04617_8.jpg,http://www.tate.org.uk/art/artworks/turner-virginia-water-no-1-t04617
120,24985,"Davis, John Scarlett",artist,140,[title not known],Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997.0,support: 110 x 167 mm,110.0,167.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T10/T10592_8.jpg,http://www.tate.org.uk/art/artworks/davis-title-not-known-t10592
121,13144,"Sargent, John Singer",artist,475,The Mountains of Moab,Oil paint on canvas,Presented by the heirs of Mrs Ormond 1957,1905.0,1957.0,support: 654 x 1111 mm frame: 960 x 1409 x 90 mm,654.0,1111.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T00/T00124_8.jpg,http://www.tate.org.uk/art/artworks/sargent-the-mountains-of-moab-t00124
122,24615,"Rigby, Elizabeth",artist,2555,[title not known],Graphite and gouache on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997.0,support: 181 x 260 mm,181.0,260.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T09/T09818_8.jpg,http://www.tate.org.uk/art/artworks/rigby-title-not-known-t09818
123,92160,"Shrigley, David",artist,10208,Untitled,Gouache and ink on paper,Purchased using funds provided by the 2006 Outset / Frieze Art Fair Fund to benefit the Tate Collection 2007,2003.0,2007.0,support: 297 x 208 mm frame: 362 x 275 x 38 mm,297.0,208.0,,mm,,© David Shrigley,http://www.tate.org.uk/art/images/work/T/T12/T12361_8.jpg,http://www.tate.org.uk/art/artworks/shrigley-untitled-t12361
124,14843,"Turner, Joseph Mallord William",artist,558,"The Arch of Constantine, Rome",Oil paint on canvas,Accepted by the nation as part of the Turner Bequest 1856,1835.0,1856.0,support: 914 x 1219 mm frame: 1205 x 1503 x 120 mm,914.0,1219.0,,mm,,,http://www.tate.org.uk/art/images/work/N/N02/N02066_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-arch-of-constantine-rome-n02066
125,1560,"Brook, Peter",artist,816,APRIL Showers,Lithograph on paper,Presented by Curwen Studio 1978,1976.0,1978.0,image: 505 x 715 mm,505.0,715.0,,mm,,© The estate of Peter Brook,http://www.tate.org.uk/art/images/work/P/P06/P06761_8.jpg,http://www.tate.org.uk/art/artworks/brook-april-showers-p06761
126,46439,"Turner, Joseph Mallord William",artist,558,Boats,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1825.0,1856.0,support: 155 x 95 mm,155.0,95.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D19/D19086_8.jpg,http://www.tate.org.uk/art/artworks/turner-boats-d19086
127,64247,"Turner, Joseph Mallord William",artist,558,[inscription not by Turner],Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1826.0,1856.0,support: 110 x 171 mm,110.0,171.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D40/D40497_8.jpg,http://www.tate.org.uk/art/artworks/turner-inscription-not-by-turner-d40497
128,57143,"Turner, Joseph Mallord William",artist,558,Three Sketches of Besigheim,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1833.0,1856.0,support: 165 x 110 mm,165.0,110.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D29/D29881_8.jpg,http://www.tate.org.uk/art/artworks/turner-three-sketches-of-besigheim-d29881
129,9397,"Matisse, Henri",artist,1593,Cap d’Antibes,Oil paint on canvas,Bequeathed by Mrs A.F. Kessler 1983,1922.0,1983.0,support: 506 x 612 mm,506.0,612.0,,mm,,© Succession Henri Matisse/DACS 2014,http://www.tate.org.uk/art/images/work/T/T03/T03568_8.jpg,http://www.tate.org.uk/art/artworks/matisse-cap-dantibes-t03568
130,11431,"Pasmore, Victor",artist,1744,Variation No. 2,Screenprint on paper,Presented by Rose and Chris Prater through the Institute of Contemporary Prints 1975,1971.0,1975.0,image: 700 x 478 mm,700.0,478.0,,mm,date inscribed,© Tate,http://www.tate.org.uk/art/images/work/P/P04/P04918_8.jpg,http://www.tate.org.uk/art/artworks/pasmore-variation-no-2-p04918
131,33712,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1805.0,1856.0,support: 182 x 117 mm,182.0,117.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d06321
132,16508,"Yeats, Jack Butler",artist,2178,The Two Travellers,Oil paint on wood,Purchased 1946,1942.0,1946.0,support: 921 x 1226 mm,921.0,1226.0,,mm,,© The estate of Jack Butler Yeats,http://www.tate.org.uk/art/images/work/N/N05/N05660_8.jpg,http://www.tate.org.uk/art/artworks/yeats-the-two-travellers-n05660
133,2597,"Constable, John",artist,108,The Mill Stream. Verso: Night Scene with Bridge,Oil paint on board,Bequeathed by Henry Vaughan 1900,1810.0,1900.0,support: 210 x 292 mm frame: 398 x 480 x 85 mm,210.0,292.0,,mm,,,http://www.tate.org.uk/art/images/work/N/N01/N01816_8.jpg,http://www.tate.org.uk/art/artworks/constable-the-mill-stream-verso-night-scene-with-bridge-n01816
134,30666,"Turner, Joseph Mallord William",artist,558,Gretna Green: The Village Street and Smithy,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1801.0,1856.0,support: 182 x 114 mm,182.0,114.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D03/D03270_8.jpg,http://www.tate.org.uk/art/artworks/turner-gretna-green-the-village-street-and-smithy-d03270
135,32532,"Turner, Joseph Mallord William",artist,558,Beeston Castle Seen between Trees,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1801.0,1856.0,support: 255 x 164 mm,255.0,164.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D05/D05140_8.jpg,http://www.tate.org.uk/art/artworks/turner-beeston-castle-seen-between-trees-d05140
136,27131,"Horsfield, Craigie",artist,2318,"Bankside Power Station, London. December 1994","Photograph, black and white, gelatin silver print, on paper",Presented by Tate Publishing 2000,2000.0,2000.0,unconfirmed: 591 x 492 mm,591.0,492.0,,mm,,© Tate,http://www.tate.org.uk/art/images/work/P/P11/P11680_8.jpg,http://www.tate.org.uk/art/artworks/horsfield-bankside-power-station-london-december-1994-p11680
137,2713,"Constable, John",artist,108,"Summer, Afternoon - After a Shower",Mezzotint on paper,Purchased 1985,1831.0,1985.0,image: 143 x 190 mm,143.0,190.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T04/T04052_8.jpg,http://www.tate.org.uk/art/artworks/constable-lucas-summer-afternoon-after-a-shower-t04052
138,23603,"Stothard, Thomas",artist,531,A Small Plant,Graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997.0,support: 73 x 77 mm,73.0,77.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T09/T09936_8.jpg,http://www.tate.org.uk/art/artworks/stothard-a-small-plant-t09936
139,8121,"Kitaj, R.B.",artist,1416,"His Every Poor, Defeated, Loser’s, Hopeless Move, Loser, Buried",Screenprint on paper,Purchased 1970,1966.0,1970.0,image: 765 x 506 mm,765.0,506.0,,mm,,© The estate of R. B. Kitaj,http://www.tate.org.uk/art/images/work/P/P07/P07049_8.jpg,http://www.tate.org.uk/art/artworks/kitaj-his-every-poor-defeated-losers-hopeless-move-loser-buried-p07049
140,56902,"Turner, Joseph Mallord William",artist,558,Namur: View from the North,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1833.0,1856.0,support: 113 x 185 mm,113.0,185.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D29/D29640_8.jpg,http://www.tate.org.uk/art/artworks/turner-namur-view-from-the-north-d29640
141,50121,"Turner, Joseph Mallord William",artist,558,"Buffet [Turner], Etc.",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1830.0,1856.0,support: 68 x 110 mm,68.0,110.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D22/D22784_8.jpg,http://www.tate.org.uk/art/artworks/turner-buffet-turner-etc-d22784
142,31349,"Turner, Joseph Mallord William",artist,558,[blank],,Accepted by the nation as part of the Turner Bequest 1856,1799.0,1856.0,support: 166 x 82 mm,166.0,82.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d03954
143,96255,"Ferrari, León",artist,10613,[no title],Digital print on paper,Presented by Alicia and León Ferrari 2008,1976.0,2009.0,support: 420 x 297 mm,420.0,297.0,,mm,,© Leon Ferrari,http://www.tate.org.uk/art/images/work/P/P79/P79630_8.jpg,http://www.tate.org.uk/art/artworks/ferrari-no-title-p79630
144,60424,"Turner, Joseph Mallord William",artist,558,Mountains beside Lake,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1841.0,1856.0,support: 175 x 107 mm,175.0,107.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D33/D33247_8.jpg,http://www.tate.org.uk/art/artworks/turner-mountains-beside-lake-d33247
145,63351,"Turner, Joseph Mallord William",artist,558,[inscriptions by Turner],,Accepted by the nation as part of the Turner Bequest 1856,1830.0,1856.0,,,,,,,,http://www.tate.org.uk/art/images/work/D/D36/D36265_8.jpg,http://www.tate.org.uk/art/artworks/turner-inscriptions-by-turner-d36265
146,37602,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1810.0,1856.0,support: 181 x 228 mm,181.0,228.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d10225
147,38478,"Turner, Joseph Mallord William",artist,558,[blank],,Accepted by the nation as part of the Turner Bequest 1856,1816.0,1856.0,support: 154 x 96 mm,154.0,96.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d11103
148,60356,"Turner, Joseph Mallord William",artist,558,Mountains. Korchstoff [Turner]. (?Kirchhoft),Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1841.0,1856.0,support: 138 x 82 mm,138.0,82.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D33/D33177_8.jpg,http://www.tate.org.uk/art/artworks/turner-mountains-korchstoff-turner-kirchhoft-d33177
149,34193,"Turner, Joseph Mallord William",artist,558,"Barges Sailing, and Verses (Inscription by Turner)",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1808.0,1856.0,support: 76 x 115 mm,76.0,115.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D06/D06803_8.jpg,http://www.tate.org.uk/art/artworks/turner-barges-sailing-and-verses-inscription-by-turner-d06803
150,24318,"Flaxman, John",artist,186,[title not known] Verso: Sketch of Part of a Seated Figure,Graphite on paper. Verso: graphite on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997.0,support: 176 x 137 mm,176.0,137.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T10/T10227_8.jpg,http://www.tate.org.uk/art/artworks/flaxman-title-not-known-verso-sketch-of-part-of-a-seated-figure-t10227
151,4362,"Flanagan, Barry",artist,1100,Abstract,Etching on paper,"Presented by Sue Flanagan, the artist's former wife 1985",1972.0,1985.0,image: 200 x 250 mm,200.0,250.0,,mm,,"© The estate of Barry Flanagan, courtesy Plubronze Ltd",http://www.tate.org.uk/art/images/work/P/P02/P02733_8.jpg,http://www.tate.org.uk/art/artworks/flanagan-abstract-p02733
152,21969,"Baselitz, Georg",artist,699,[no title],Aquatint and drypoint on paper,Purchased 1997,1995.0,1997.0,image: 287 x 171 mm mount: 561 x 411 x 4 mm,287.0,171.0,,mm,,© Georg Baselitz,http://www.tate.org.uk/art/images/work/P/P77/P77947_8.jpg,http://www.tate.org.uk/art/artworks/baselitz-no-title-p77947
153,34672,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1808.0,1856.0,support: 109 x 186 mm,109.0,186.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d07283
154,123805,"Palermo, Blinky",artist,2317,Happier than the morning sun “to Stevie Wonder”,Plywood and 4 lithographs on paper,Purchased with assistance from Tate Members and Tate Patrons 2012  ,1975.0,2013.0,displayed: 614 x 843 x 32 mm,614.0,843.0,32.0,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/T/T13/T13807_8.jpg,http://www.tate.org.uk/art/artworks/palermo-happier-than-the-morning-sun-to-stevie-wonder-t13807
155,48947,"Turner, Joseph Mallord William",artist,558,"?Carnesse [Turner], Etc.",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1828.0,1856.0,support: 148 x 104 mm,148.0,104.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D21/D21605_8.jpg,http://www.tate.org.uk/art/artworks/turner-carnesse-turner-etc-d21605
